,DefectId,Severity,Project,rootCauseCategoryNG,Phase,Component,openDate,closedDate,plannedDurationInWeeks,developmentTeamSizeForRelease,testingTeamSizeForRelease,numberOfTestCaseExecuted,applicationCategory,Complexity,projectCMMILevel,applicationVersion
170,239,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/23/2015,9/25/2015,100,200,100,1000,Existing,4,Level4,1
171,240,C-Medium,A,Detailed Design,Design Verification (DV),NGBA Phase 1,9/23/2015,9/23/2015,100,200,100,1000,Existing,4,Level4,1
172,241,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/24/2015,10/8/2015,100,200,100,1000,Existing,4,Level4,1
173,242,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/24/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
174,243,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/24/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
175,244,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/24/2015,9/30/2015,100,200,100,1000,Existing,4,Level4,1
176,245,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/24/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
177,246,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/24/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
178,247,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/24/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
179,248,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/24/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
180,249,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/24/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
